entity_id,name,status,entity_class,schema_candidate,entity_home,owner,jsonld_ids,about_pages_count,about_pages,mentions_pages_count,mentions_pages,product_group_refs,product_group_pages,rendered_id_refs,rendered_node_defs,gsc_impressions,gsc_clicks,gsc_ctr,ai_citations,business_signal,notes
11d-adjustment,11D adjustment,confirmed,Feature,DefinedTerm,/articles/how-to-choose-chair-by-adjustability/,,https://aerocool.ua/articles/how-to-choose-chair-by-adjustability/#11d-adjustment,2,content/articles/how-to-choose-chair-by-adjustability/index.md; content/articles/how-to-choose-chair-by-adjustability/index.ru.md,42,content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/sky-lite-vs-sky-360-guide/index.md; content/articles/sky-lite-vs-sky-360-guide/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/sync4-sync5-mechanism-guide/index.md; content/articles/sync4-sync5-mechanism-guide/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/wing-vs-xtal-comparison/index.md; content/articles/wing-vs-xtal-comparison/index.ru.md; content/news/2026-04-16-aerocool-wing-series-launch/index.md; content/news/2026-04-16-aerocool-wing-series-launch/index.ru.md; content/news/2026-04-18-aerocool-sky-360-launch/index.md; content/news/2026-04-18-aerocool-sky-360-launch/index.ru.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md,0,,120,44,pending-production,pending-production,pending-production,pending-production,pending-production,ok
7d-adjustment,7D adjustment,confirmed,Feature,DefinedTerm,/articles/how-to-choose-chair-by-adjustability/,,https://aerocool.ua/articles/how-to-choose-chair-by-adjustability/#7d-adjustment,2,content/articles/how-to-choose-chair-by-adjustability/index.md; content/articles/how-to-choose-chair-by-adjustability/index.ru.md,30,content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/articles/wing-vs-xtal-comparison/index.md; content/articles/wing-vs-xtal-comparison/index.ru.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.md; content/news/2026-04-17-aerocool-xtal-series-launch/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,86,32,pending-production,pending-production,pending-production,pending-production,pending-production,ok
8d-adjustment,8D adjustment,confirmed,Feature,DefinedTerm,/articles/how-to-choose-chair-by-adjustability/,,https://aerocool.ua/articles/how-to-choose-chair-by-adjustability/#8d-adjustment,2,content/articles/how-to-choose-chair-by-adjustability/index.md; content/articles/how-to-choose-chair-by-adjustability/index.ru.md,22,content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/sky-lite-vs-sky-360-guide/index.md; content/articles/sky-lite-vs-sky-360-guide/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/articles/sync4-sync5-mechanism-guide/index.md; content/articles/sync4-sync5-mechanism-guide/index.ru.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.md; content/news/2026-04-19-aerocool-sky-lite-launch/index.ru.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.md; content/news/2026-04-30-aerocool-sync4-sync5-mechanism-update/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md,0,,70,24,pending-production,pending-production,pending-production,pending-production,pending-production,ok
about-page,About Aerocool Ukraine,confirmed,AboutPage,AboutPage,/about/,,https://aerocool.ua/about/#webpage,0,,0,,0,,2,1,pending-production,pending-production,pending-production,pending-production,pending-production,ok
aerocool-brand,Aerocool,confirmed,Brand,Brand,/about/,Global Aerocool + Aerocool Ukraine,https://aerocool.io/#brand,8,content/_index.md; content/_index.ru.md; content/about/index.md; content/about/index.ru.md; content/image-license/index.md; content/image-license/index.ru.md; content/news/_index.md; content/news/_index.ru.md,34,content/faq/index.md; content/faq/index.ru.md; content/products/_index.md; content/products/_index.ru.md; content/products/sky/360/index.md; content/products/sky/360/index.ru.md; content/products/sky/_index.md; content/products/sky/_index.ru.md; content/products/sky/lite/index.md; content/products/sky/lite/index.ru.md; content/products/wing/_index.md; content/products/wing/_index.ru.md; content/products/wing/loft-air-dark-grey/index.md; content/products/wing/loft-air-dark-grey/index.ru.md; content/products/wing/loft-air-light-grey/index.md; content/products/wing/loft-air-light-grey/index.ru.md; content/products/wing/mesh-black/index.md; content/products/wing/mesh-black/index.ru.md; content/products/wing/racer-black/index.md; content/products/wing/racer-black/index.ru.md; content/products/wing/racer-dark-grey/index.md; content/products/wing/racer-dark-grey/index.ru.md; content/products/xtal/_index.md; content/products/xtal/_index.ru.md; content/products/xtal/loft-air-dark-grey/index.md; content/products/xtal/loft-air-dark-grey/index.ru.md; content/products/xtal/loft-air-light-grey/index.md; content/products/xtal/loft-air-light-grey/index.ru.md; content/products/xtal/mesh-black/index.md; content/products/xtal/mesh-black/index.ru.md; content/products/xtal/racer-black/index.md; content/products/xtal/racer-black/index.ru.md; content/products/xtal/racer-dark-grey/index.md; content/products/xtal/racer-dark-grey/index.ru.md,0,,336,114,pending-production,pending-production,pending-production,pending-production,pending-production,ok
aerocool-catalog,Aerocool chairs catalog,confirmed,Collection,CollectionPage,/products/,Aerocool Ukraine,https://aerocool.ua/products/#collection,8,content/_index.md; content/_index.ru.md; content/articles/how-to-choose-aerocool-chair/index.md; content/articles/how-to-choose-aerocool-chair/index.ru.md; content/articles/sky-vs-wing-vs-xtal/index.md; content/articles/sky-vs-wing-vs-xtal/index.ru.md; content/products/_index.md; content/products/_index.ru.md,26,content/about/index.md; content/about/index.ru.md; content/articles/_index.md; content/articles/_index.ru.md; content/articles/best-chair-for-home-office/index.md; content/articles/best-chair-for-home-office/index.ru.md; content/articles/chair-for-computer-work/index.md; content/articles/chair-for-computer-work/index.ru.md; content/articles/chair-for-posture-and-long-work/index.md; content/articles/chair-for-posture-and-long-work/index.ru.md; content/articles/chair-setup-after-purchase/index.md; content/articles/chair-setup-after-purchase/index.ru.md; content/articles/chairs-for-office-team/index.md; content/articles/chairs-for-office-team/index.ru.md; content/articles/gaming-chair-long-sessions/index.md; content/articles/gaming-chair-long-sessions/index.ru.md; content/articles/what-is-dual-backrest/index.md; content/articles/what-is-dual-backrest/index.ru.md; content/articles/what-is-fully-replaceable-design/index.md; content/articles/what-is-fully-replaceable-design/index.ru.md; content/news/2026-05-21-aerocool-chair-selection-guides-update/index.md; content/news/2026-05-21-aerocool-chair-selection-guides-update/index.ru.md; content/news/2026-05-21-aerocool-practical-chair-guides-update/index.md; content/news/2026-05-21-aerocool-practical-chair-guides-update/index.ru.md; content/news/_index.md; content/news/_index.ru.md,0,,90,1,pending-production,pending-production,pending-production,pending-production,pending-production,ok
aerocool-global-organization,Aerocool Advanced Technologies Corp.,confirmed,Organization,Organization,https://aerocool.io/,Global Aerocool,https://aerocool.io/#organization,2,content/about/index.md; content/about/index.ru.md,2,content/image-license/index.md; content/image-license/index.ru.md,0,,460,114,pending-production,pending-production,pending-production,pending-production,pending-production,ok
aerocool-logo,Aerocool logo,confirmed,ImageObject,ImageObject,/,Aerocool Ukraine,https://aerocool.ua/#logo,0,,0,,0,,456,114,pending-production,pending-production,pending-production,pending-production,pending-production,ok
aerocool-ukraine,Aerocool Ukraine,confirmed,Organization,Organization,/about/,Aerocool Ukraine,https://aerocool.ua/#organization,8,content/_index.md; content/_index.ru.md; content/about/index.md; content/about/index.ru.md; content/contact/index.md; content/contact/index.ru.md; content/image-license/index.md; content/image-license/index.ru.md,2,content/faq/index.md; content/faq/index.ru.md,0,,512,114,pending-production,pending-production,pending-production,pending-production,pending-production,ok
aerocool-website,Aerocool Ukraine website,confirmed,WebSite,WebSite,/,Aerocool Ukraine,https://aerocool.ua/#website,0,,0,,0,,149,57,pending-production,pending-production,pending-production,pending-production,pending-production,ok
